Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Trace	Trace-Low	57.7035489231	2.32574871539	56.902395	0.0	-0.318918548718	1.0
Low-Medium	Low	54.78849	0.993324	59.0772171667	1.30871016823	-3.67609402525	0.448
Low-Medium	Trace-Low	54.78849	0.993324	56.902395	0.0	1.22866619632	1.0
Trace	Low	57.7035489231	2.32574871539	59.0772171667	1.30871016823	-1.27827268422	1.0
Medium	Low	54.8763124286	4.05638907835	59.0772171667	1.30871016823	-2.23586598261	0.322
Low-Medium	Trace	54.78849	0.993324	57.7035489231	2.32574871539	-1.62747980193	1.0
Low-Medium	High	54.78849	0.993324	56.508468	0.0	0.999703783761	1.0
High	Low	56.508468	0.0	59.0772171667	1.30871016823	-1.65887706861	1.0
Medium	Trace-Low	54.8763124286	4.05638907835	56.902395	0.0	0.432561803893	1.0
Medium	Trace	54.8763124286	4.05638907835	57.7035489231	2.32574871539	-1.87859845068	1.0
Medium	High	54.8763124286	4.05638907835	56.508468	0.0	0.348459716384	1.0
High	Trace-Low	56.508468	0.0	56.902395	0.0	None	None
Trace-Low	Low	56.902395	0.0	59.0772171667	1.30871016823	-1.4044822544	1.0
Low-Medium	Medium	54.78849	0.993324	54.8763124286	4.05638907835	-0.0267743982256	1.0
Trace	High	57.7035489231	2.32574871539	56.508468	0.0	-0.475730646272	1.0
