Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Trace	Trace-Low	58.196409	0.0	55.411629	1.490766	1.07850157747	1.0
Low-Medium	Low	54.78218	0.0	56.672142625	1.48782209358	-1.12028875732	1.0
Low-Medium	Trace-Low	54.78218	0.0	55.411629	1.490766	-0.243775716371	1.0
Trace	Low	58.196409	0.0	56.672142625	1.48782209358	0.903519710114	1.0
Medium	Low	57.6012310667	3.92795765138	56.672142625	1.48782209358	0.616126955876	1.0
Low-Medium	Trace	54.78218	0.0	58.196409	0.0	None	None
Low-Medium	High	54.78218	0.0	56.8446716667	0.335668649745	-4.34476631866	1.0
High	Low	56.8446716667	0.335668649745	56.672142625	1.48782209358	0.179966218832	1.0
Medium	Trace-Low	57.6012310667	3.92795765138	55.411629	1.490766	0.733506048017	1.0
Medium	Trace	57.6012310667	3.92795765138	58.196409	0.0	0.141737265798	1.0
Medium	High	57.6012310667	3.92795765138	56.8446716667	0.335668649745	0.314299490311	1.0
High	Trace-Low	56.8446716667	0.335668649745	55.411629	1.490766	1.24328260584	1.0
Trace-Low	Low	55.411629	1.490766	56.672142625	1.48782209358	-0.958141296193	1.0
Low-Medium	Medium	54.78218	0.0	57.6012310667	3.92795765138	-0.671336365069	1.0
Trace	High	58.196409	0.0	56.8446716667	0.335668649745	2.84751833545	1.0
