Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
14	11.5	59.8428915	0.6126695	58.610227	0.0	-1.16160373724	1.0
15	14	56.329948	0.572447	59.8428915	0.6126695	-4.18962477797	1.0
15	3	56.329948	0.572447	61.069971	2.873562	-1.61774076749	1.0
7	11.5	55.24374	0.0	58.610227	0.0	None	None
10	10.5	56.4497301818	3.39875429651	58.632578	0.0	0.586290782502	1.0
10.8	10.5	56.626193	0.0	58.632578	0.0	None	None
14	12.5	59.8428915	0.6126695	57.303007	0.0	-2.39346499179	1.0
11	10	58.1958025	2.4139885	56.4497301818	3.39875429651	0.639626304267	1.0
10	9.5	56.4497301818	3.39875429651	55.3217015	1.4008385	0.425240414471	1.0
11	10.5	58.1958025	2.4139885	58.632578	0.0	0.104462988328	1.0
10	12.5	56.4497301818	3.39875429651	57.303007	0.0	0.22918149825	1.0
11	9.5	58.1958025	2.4139885	55.3217015	1.4008385	1.0297741052	1.0
10	8.5	56.4497301818	3.39875429651	54.78218	0.0	-0.447887064236	1.0
10.5	7	58.632578	0.0	55.24374	0.0	None	None
12	16	54.894988	0.0	56.5854475	3.9258675	-0.248604225023	1.0
7	9.5	55.24374	0.0	55.3217015	1.4008385	-0.0321315362274	1.0
12	8.5	54.894988	0.0	54.78218	0.0	None	None
12	9.5	54.894988	0.0	55.3217015	1.4008385	-0.175868348915	1.0
12.5	3	57.303007	0.0	61.069971	2.873562	-0.756850793346	1.0
11	14	58.1958025	2.4139885	59.8428915	0.6126695	-0.661342639941	1.0
15	8.5	56.329948	0.572447	54.78218	0.0	-1.56102533762	1.0
10.8	12.5	56.626193	0.0	57.303007	0.0	None	None
14	9.5	59.8428915	0.6126695	55.3217015	1.4008385	2.95704011596	1.0
12.5	11.5	57.303007	0.0	58.610227	0.0	None	None
16	12.5	56.5854475	3.9258675	57.303007	0.0	0.105526528973	1.0
14	10.5	59.8428915	0.6126695	58.632578	0.0	-1.14054122986	1.0
3	7	61.069971	2.873562	55.24374	0.0	-1.17059455693	1.0
10.5	3	58.632578	0.0	61.069971	2.873562	-0.489716075265	1.0
12	11.5	54.894988	0.0	58.610227	0.0	None	None
15	9.5	56.329948	0.572447	55.3217015	1.4008385	0.666261629995	1.0
16	7	56.5854475	3.9258675	55.24374	0.0	-0.197315672599	1.0
8.5	11.5	54.78218	0.0	58.610227	0.0	None	None
16	10.5	56.5854475	3.9258675	58.632578	0.0	0.301057370184	1.0
12.5	10.5	57.303007	0.0	58.632578	0.0	None	None
12	3	54.894988	0.0	61.069971	2.873562	-1.2406651039	1.0
3	11.5	61.069971	2.873562	58.610227	0.0	-0.494206793011	1.0
11	11.5	58.1958025	2.4139885	58.610227	0.0	0.0991173307718	1.0
12.5	9.5	57.303007	0.0	55.3217015	1.4008385	0.816587539372	1.0
12.5	7	57.303007	0.0	55.24374	0.0	None	None
16	9.5	56.5854475	3.9258675	55.3217015	1.4008385	0.303179676506	1.0
10.8	8.5	56.626193	0.0	54.78218	0.0	None	None
10.8	3	56.626193	0.0	61.069971	2.873562	-0.892834894295	1.0
10.8	9.5	56.626193	0.0	55.3217015	1.4008385	0.537641218942	1.0
12	14	54.894988	0.0	59.8428915	0.6126695	-4.66266627872	1.0
15	11.5	56.329948	0.572447	58.610227	0.0	2.29981062784	1.0
14	16	59.8428915	0.6126695	56.5854475	3.9258675	0.819815559293	1.0
11	8.5	58.1958025	2.4139885	54.78218	0.0	-0.816431341445	1.0
14	7	59.8428915	0.6126695	55.24374	0.0	-4.33401916787	1.0
15	16	56.329948	0.572447	56.5854475	3.9258675	-0.0644000019661	1.0
10	12	56.4497301818	3.39875429651	54.894988	0.0	-0.417587979691	1.0
12	12.5	54.894988	0.0	57.303007	0.0	None	None
11	3	58.1958025	2.4139885	61.069971	2.873562	-0.765840694092	1.0
16	3	56.5854475	3.9258675	61.069971	2.873562	-0.921762558312	1.0
12	10.8	54.894988	0.0	56.626193	0.0	None	None
8.5	7	54.78218	0.0	55.24374	0.0	None	None
11	12	58.1958025	2.4139885	54.894988	0.0	-0.789451209117	1.0
16	11.5	56.5854475	3.9258675	58.610227	0.0	0.297770362697	1.0
