	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10_0.txt	10	0	4.25203	3.93368	4.17254	3.74395	3.49762	4.03224	3.72512	3.83802	4.58773	3.91337	3.4482	4.60903	2.5806	4.17771	2.27123	4.23702	4.52748	4.52995	4.3038	4.22384	4.36355	3.89185	3.38655	3.38462	5.7677	3.60704	2.99144	3.76818	3.26493	3.55039
alpha_rarefaction_10_1.txt	10	1	3.74141	4.18062	4.49795	4.26763	3.87051	3.23895	4.28204	3.52177	4.10304	3.22429	3.42717	3.81877	3.93917	2.82322	4.00063	4.07385	4.35387	5.03502	4.16545	2.87412	4.42784	3.83758	4.61848	5.54405	3.41745	2.82165	4.30159	4.04603	3.54426	4.91062
alpha_rarefaction_10_2.txt	10	2	4.20894	3.51002	3.86195	3.33137	3.10464	3.60769	4.53726	4.26081	3.71457	4.4949	4.27545	3.73716	3.47398	3.54506	2.73987	4.27341	3.73053	3.61661	3.93237	4.50121	3.69607	4.02723	4.5171	4.19034	3.89995	4.00855	3.86157	3.85187	3.64187	4.0867
alpha_rarefaction_10_3.txt	10	3	3.65946	3.45231	4.00711	3.77696	3.95922	3.29248	3.36453	3.14479	3.38176	5.53675	3.85504	3.78037	3.74386	3.52832	2.88227	2.27572	3.73894	4.23158	3.82955	3.44227	3.40264	4.53107	3.13292	3.99591	3.10508	3.74639	3.66152	4.43573	4.37326	4.41899
alpha_rarefaction_10_4.txt	10	4	3.61845	2.95742	3.30912	3.6217	3.28161	3.48834	4.1451	4.51656	4.56737	3.77041	4.83025	4.10789	4.93561	4.51572	3.32009	4.31549	4.00579	2.86691	4.7097	3.91207	3.12651	3.92663	4.03397	3.46538	3.26564	4.37665	3.77552	3.78547	3.68366	4.71769
alpha_rarefaction_10_5.txt	10	5	3.94219	4.27498	4.20818	3.45393	3.85148	3.93837	3.54808	4.47829	3.69905	4.75976	3.39759	3.39098	2.57099	4.04739	4.18225	3.75994	5.16586	3.7819	3.34495	3.71571	4.36552	3.83119	5.96324	4.43134	3.74353	4.46163	2.53627	3.39582	3.72612	3.37558
alpha_rarefaction_10_6.txt	10	6	3.50684	3.44579	3.35426	3.98294	4.12192	3.6629	4.28552	3.64533	4.18842	3.10574	4.24199	4.76539	4.06112	3.22232	4.21391	4.57744	4.69762	2.9619	4.33117	3.0971	3.46891	3.8618	4.05287	3.58556	3.6661	3.30154	3.67407	4.01407	4.99415	4.87691
alpha_rarefaction_10_7.txt	10	7	3.93374	4.19258	3.46774	4.32539	3.59404	2.88643	3.93095	4.69464	3.77257	4.62521	3.90883	2.4605	3.90324	3.51288	4.12586	4.35229	5.05361	4.61197	3.56576	3.13382	3.87659	3.4506	3.03176	3.32521	4.07063	4.0621	3.56193	3.24589	3.78764	3.43567
alpha_rarefaction_10_8.txt	10	8	4.25024	4.16509	3.42097	3.37318	4.7059	3.62686	5.64323	5.15135	3.40723	4.82138	4.16393	3.76438	3.67131	4.1505	3.20016	4.26937	4.93029	3.00754	3.5659	3.46701	3.36781	4.36002	4.3866	4.60553	3.30535	2.77792	3.37405	4.38009	4.15155	2.43254
alpha_rarefaction_10_9.txt	10	9	2.99219	2.96613	4.04124	3.90077	4.1118	4.39241	3.26844	3.44139	2.08637	3.60484	4.18812	4.95342	3.3348	2.69378	3.24538	3.77264	4.20576	3.71226	4.06736	4.01477	4.15513	4.16351	4.19921	4.36694	3.54336	4.2768	2.43745	4.36213	3.61361	2.74305
