OTU	Test-Statistic	P	FDR_P	Bonferroni_P	dry_mean	moist_mean	low_mean
k__Bacteria;p__Fibrobacteres	15.064516129	0.00053552763442	0.0294540198931	0.0294540198931	0.000111556779528	0.000293016437984	0.000355407691554
k__Bacteria;p__OP3	6.91311827957	0.0315380937063	0.676813837548	1.0	0.000519362007161	0.000429009658313	0.000577599844584
k__Bacteria;p__Spirochaetes	6.45662548175	0.0396242988779	0.676813837548	1.0	1.76820748121e-05	7.88639955304e-05	2.42593542051e-05
k__Bacteria;p__Planctomycetes	6.02279569892	0.0492228245489	0.676813837548	1.0	0.0535855049731	0.0595520194686	0.0726453967216
k__Bacteria;p__[Thermi]	4.8174733388	0.0899288326851	0.753294132183	1.0	0.0	3.13187327379e-06	0.0
k__Bacteria;p__PAUC34f	4.42068965517	0.109662827227	0.753294132183	1.0	1.15867470787e-06	0.0	1.13567964749e-05
Unassigned;Other	4.38408602151	0.111688334902	0.753294132183	1.0	0.00290564647011	0.0040559426408	0.00379389688793
k__Bacteria;p__ZB3	4.24613516795	0.119663985588	0.753294132183	1.0	9.77010932752e-07	4.31065579012e-06	3.78559882495e-06
k__Bacteria;p__AD3	3.78236966825	0.1508929198	0.753294132183	1.0	2.65299457341e-05	3.82318892978e-06	0.000183395867867
k__Bacteria;p__OP11	3.5569431988	0.168896090984	0.753294132183	1.0	2.77180815347e-05	2.12219068668e-05	6.99780268996e-06
k__Bacteria;p__Gemmatimonadetes	3.44322580645	0.178777564335	0.753294132183	1.0	0.0369480740873	0.0324444540016	0.022019729844
k__Bacteria;p__WS4	3.21164889253	0.200724000521	0.753294132183	1.0	5.19196172951e-06	0.0	1.89279941248e-06
k__Bacteria;p__Proteobacteria	3.10838709677	0.211359765353	0.753294132183	1.0	0.292137868038	0.293122470909	0.240939181577
k__Bacteria;p__Firmicutes	3.04924731183	0.217702972676	0.753294132183	1.0	0.0107172860891	0.00963060574909	0.015313835313
k__Bacteria;p__MVP-21	3.01871345029	0.22105212951	0.753294132183	1.0	2.43328789567e-05	1.78518280969e-05	1.89279941248e-06
k__Bacteria;p__NKB19	2.94154234395	0.229748241448	0.753294132183	1.0	5.78582571445e-05	7.68863704764e-05	1.60219982682e-05
k__Bacteria;p__Acidobacteria	2.91483870968	0.232836368129	0.753294132183	1.0	0.173153188529	0.170045138622	0.19937492067
k__Bacteria;p__TM7	2.64322580645	0.266704785859	0.807358465344	1.0	0.000371316542677	0.000254522072792	0.00017951693633
k__Bacteria;p__OD1	2.55376344086	0.278905651664	0.807358465344	1.0	0.000276673433373	0.000186462360521	0.000213281402439
k__Bacteria;p__FCPU426	2.21164551325	0.330938488367	0.861248044335	1.0	7.89252254827e-05	8.73819268024e-05	0.000279472021422
k__Bacteria;p__GAL15	2.14539493294	0.342084510244	0.861248044335	1.0	3.99433816048e-06	1.46938058547e-05	1.51423952998e-05
k__Bacteria;p__[Caldithrix]	2.07074738416	0.35509366044	0.861248044335	1.0	7.42155613706e-05	0.000144040195788	0.00033182411048
k__Bacteria;p__Fusobacteria	1.90476693052	0.385820337308	0.861248044335	1.0	1.1151535427e-06	5.79216239755e-06	2.33260089665e-06
k__Bacteria;p__WS2	1.89654147982	0.387410377849	0.861248044335	1.0	2.95112154685e-05	1.33766539066e-05	8.67715742107e-06
k__Bacteria;p__Armatimonadetes	1.80774193548	0.404998883876	0.861248044335	1.0	0.00122181788476	0.00099678274117	0.00149809560295
k__Bacteria;p__NC10	1.58992038217	0.45159921224	0.861248044335	1.0	7.71974547474e-07	2.62489926949e-06	2.46063923622e-05
k__Bacteria;p__Lentisphaerae	1.5	0.472366552741	0.861248044335	1.0	0.0	9.24759701192e-08	0.0
k__Bacteria;p__	1.49225806452	0.474198612063	0.861248044335	1.0	0.000179487141499	0.000281889454472	0.000138252114532
k__Bacteria;p__Tenericutes	1.4911827957	0.474453626099	0.861248044335	1.0	0.000365866087914	0.000193016474247	0.000551482138825
k__Bacteria;Other	1.22042657916	0.543234990353	0.861248044335	1.0	4.61300359584e-07	2.61666966451e-06	0.0
k__Bacteria;p__Elusimicrobia	1.21591397849	0.544462075459	0.861248044335	1.0	0.00246656300957	0.00269400972902	0.00343086066678
k__Bacteria;p__GN04	1.10490765172	0.57553581158	0.861248044335	1.0	2.2686675912e-06	4.41156427967e-06	1.32495958873e-05
k__Bacteria;p__BRC1	1.02924731183	0.597725502752	0.861248044335	1.0	0.000316605244642	0.000305074524252	0.000497582681294
k__Bacteria;p__GOUTA4	1.0	0.606530659713	0.861248044335	1.0	7.07197949126e-06	0.0	0.0
k__Bacteria;p__OP8	1.0	0.606530659713	0.861248044335	1.0	6.59951658541e-07	0.0	0.0
k__Bacteria;p__WPS-2	0.966021361816	0.616923234038	0.861248044335	1.0	9.98389182709e-05	7.40623509404e-05	0.000681772423295
k__Bacteria;p__Chlamydiae	0.924516129032	0.629859774509	0.861248044335	1.0	0.00101790937047	0.000980222590798	0.00116876989337
k__Bacteria;p__Chloroflexi	0.792688172043	0.672775163577	0.861248044335	1.0	0.0352208647232	0.0308239251375	0.0317283994556
k__Bacteria;p__WS3	0.784946236559	0.675384501606	0.861248044335	1.0	0.00822250222545	0.0113414620585	0.00821267651785
k__Bacteria;p__Verrucomicrobia	0.775483870968	0.678587440009	0.861248044335	1.0	0.119525080675	0.110176693841	0.128250810022
k__Archaea;p__[Parvarchaeota]	0.76423019432	0.682416504484	0.861248044335	1.0	7.53917823331e-05	3.55087192264e-05	4.36400619354e-05
k__Archaea;p__Crenarchaeota	0.736774193548	0.691849317208	0.861248044335	1.0	0.025016041584	0.0199084776719	0.0311977147213
k__Bacteria;p__FBP	0.733548387097	0.692966103596	0.861248044335	1.0	0.000102309377878	0.000129483470532	6.78045590291e-05
k__Bacteria;p__SR1	0.723852242744	0.696333810128	0.861248044335	1.0	5.73949466851e-06	3.6841736214e-06	0.0
k__Archaea;p__Euryarchaeota	0.676603320227	0.712980177773	0.861248044335	1.0	8.04594179678e-05	2.70499817697e-05	0.000119699076592
k__Bacteria;p__Nitrospirae	0.656129032258	0.720316546171	0.861248044335	1.0	0.0148421723567	0.0169247010953	0.013881532913
k__Bacteria;p__TM6	0.592258064516	0.74369146164	0.870277242345	1.0	0.00131945034211	0.00123269278939	0.00130630182265
k__Bacteria;p__Cyanobacteria	0.546021505376	0.76108460388	0.872076108612	1.0	0.00307692363282	0.00239391903556	0.00273921106895
k__Bacteria;p__WS1	0.243965517241	0.885163629813	0.967343015706	1.0	4.41998718204e-07	4.62379850596e-08	0.0
k__Bacteria;p__Actinobacteria	0.230967741935	0.89093494204	0.967343015706	1.0	0.135321078387	0.133027012727	0.127457746152
k__Bacteria;p__Bacteroidetes	0.217419354839	0.896990796382	0.967343015706	1.0	0.0790762747462	0.0964857674486	0.0891652366508
k__Bacteria;p__Chlorobi	0.149247311828	0.928092702812	0.981636512589	1.0	0.00117907116722	0.00127854679778	0.00133258106842
k__Bacteria;p__SBR1093	0.0995681937862	0.951434820061	0.987338020818	1.0	8.11526899678e-06	2.25862931035e-05	1.89279941248e-05
k__Bacteria;p__BHI80-139	0.0280169856104	0.986089169564	0.994531138004	1.0	7.18946865239e-05	6.8396699592e-05	7.05253129241e-05
