OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Low-Medium_mean	Medium_mean	Trace_mean	High_mean	Trace-Low_mean	Low_mean
k__Bacteria;p__PAUC34f	21.75	0.000584099233231	0.0321254578277	0.0321254578277	8.69006030902e-06	0.0	0.0	0.0	3.40703894246e-05	0.0
k__Bacteria;p__Elusimicrobia	14.3752097365	0.013393750441	0.335071611665	0.736656274256	0.00342553120663	0.00178517134723	0.00315003538243	0.0	0.00216346972846	0.00285965872471
k__Bacteria;p__WS4	13.6112738779	0.0182766333635	0.335071611665	1.0	0.0	1.11256322775e-05	0.0	0.0	5.67839823743e-06	0.0
k__Bacteria;p__NC10	11.2413481953	0.0467992655021	0.548233861083	1.0	0.0	1.65423117316e-06	0.0	0.0	7.38191770865e-05	5.24979853898e-06
k__Bacteria;p__OD1	9.98548977904	0.0756474323624	0.548233861083	1.0	0.000327724390401	0.000303668659859	0.000217981707353	0.0	0.000215779133022	0.000199470550957
k__Bacteria;p__Firmicutes	9.25908070424	0.0991659231694	0.548233861083	1.0	0.00737126254645	0.0138886163839	0.0111456728932	0.00267737617135	0.0185683622364	0.00736095674415
k__Bacteria;p__[Caldithrix]	9.08055979895	0.10589372105	0.548233861083	1.0	8.69006030902e-06	8.57861075245e-05	7.97440819809e-05	0.0	0.000880151726801	0.000217080072603
k__Bacteria;p__GN04	9.07930644553	0.10594239582	0.548233861083	1.0	0.0	2.84142033131e-06	1.08769781144e-06	0.0	3.9748787662e-05	8.82312855935e-06
k__Bacteria;p__Spirochaetes	8.77354980846	0.118444599461	0.548233861083	1.0	2.91207950978e-05	2.64616590795e-05	2.69102277005e-05	0.0	3.9748787662e-05	0.000108553696607
k__Bacteria;p__NKB19	8.73751654714	0.120002997832	0.548233861083	1.0	2.01071307929e-05	0.000130588514706	5.16146119588e-05	0.0	3.40703894246e-05	2.9863681379e-05
k__Bacteria;p__	8.33094647288	0.138915054327	0.548233861083	1.0	0.00010330991172	0.00015144840844	0.00022915219536	0.0	0.000272563115396	0.000328572763693
k__Bacteria;p__Verrucomicrobia	8.13385324353	0.149011365141	0.548233861083	1.0	0.184075624874	0.0894026316132	0.127552355052	0.0963855421687	0.0899912552667	0.110203647022
k__Bacteria;p__Fibrobacteres	7.98364646107	0.157139209135	0.548233861083	1.0	0.000236064222535	0.000106146644493	0.000236600767712	0.0	0.00022145753126	0.000290558259227
k__Bacteria;p__TM6	7.72903225806	0.171815046991	0.548233861083	1.0	0.00208056429483	0.00148218059954	0.00112253137312	0.0	0.00149909713468	0.00131242938341
k__Bacteria;p__Chlorobi	7.68793572019	0.174293459309	0.548233861083	1.0	0.000748497859816	0.00105677164075	0.00140742290186	0.00267737617135	0.000562161425505	0.00109932329348
Unassigned;Other	7.58251211154	0.180794829621	0.548233861083	1.0	0.00282850944181	0.00284515429535	0.0038605851363	0.00133868808568	0.00455975378465	0.00366309196861
k__Bacteria;p__Gemmatimonadetes	7.43462129269	0.19027085442	0.548233861083	1.0	0.03651203107	0.0460298976895	0.0264639481072	0.0307898259705	0.0333094840607	0.034374961245
k__Bacteria;p__GN02	7.3145220371	0.198279926421	0.548233861083	1.0	7.52981068177e-05	0.000128968816078	9.03920861726e-05	0.0	0.000193065540072	0.000101161263864
k__Bacteria;p__SBR1093	7.29144199666	0.199851931313	0.548233861083	1.0	0.0	4.08400628844e-05	5.94542063192e-06	0.0	5.67839823743e-05	4.93227396467e-06
k__Bacteria;p__Tenericutes	7.11927212572	0.211919950642	0.548233861083	1.0	0.000154294035798	0.000123383722765	0.000524921625446	0.0	0.000329347097771	0.000188838844438
