OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Low-Medium_mean	Medium_mean	Trace_mean	High_mean	Trace-Low_mean	Low_mean
k__Bacteria;p__GOUTA4	29.0	2.31875858031e-05	0.00127531721917	0.00127531721917	0.000106079692369	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__WS1	15.4666666667	0.0085438041432	0.19446960569	0.469909227876	6.62998077306e-06	3.69903880477e-08	0.0	0.0	0.0	0.0
k__Bacteria;p__WS4	14.9432868471	0.0106074330376	0.19446960569	0.583408817069	7.29297885036e-05	3.29975829271e-07	0.0	0.0	2.83919911871e-06	0.0
k__Bacteria;p__AD3	12.2266916798	0.0318102034634	0.427605349584	1.0	6.62998077306e-05	2.7198323834e-06	0.0	4.6657541746e-05	0.000275093801801	2.45946918062e-05
k__Bacteria;p__SR1	11.7173262973	0.0388732135985	0.427605349584	1.0	1.32599615461e-05	3.05888689665e-06	0.0	2.37197461628e-05	0.0	0.0
k__Bacteria;p__Tenericutes	10.7612903226	0.0563237833408	0.447870152444	1.0	3.31499038653e-05	0.000324817372567	3.41953826463e-05	1.95166533135e-05	0.000748990073497	0.000370312430525
k__Bacteria;p__NC10	10.4341507431	0.0638278683828	0.447870152444	1.0	6.62998077306e-06	2.42989524486e-06	0.0	0.0	3.69095885433e-05	0.0
k__Bacteria;p__Proteobacteria	10.087311828	0.0727987688443	0.447870152444	1.0	0.231240469403	0.303034326761	0.276200990689	0.321012374432	0.227365322886	0.268953885703
k__Bacteria;p__Planctomycetes	10.0695698925	0.0732878431272	0.447870152444	1.0	0.0548365709739	0.0576950609488	0.065537893369	0.0466199580757	0.0772957113789	0.057011415353
k__Bacteria;p__GN04	9.18792436236	0.10179920242	0.559895613311	1.0	1.98899423192e-05	1.0499597078e-06	0.0	0.0	1.9874393831e-05	6.41618091099e-06
k__Bacteria;p__PAUC34f	8.02801724138	0.154698287008	0.672552243204	1.0	0.0	0.0	0.0	0.0	1.70351947123e-05	2.17251507725e-06
k__Bacteria;p__TM7	7.84677419355	0.164884833687	0.672552243204	1.0	0.000145859577007	0.000248917309017	0.000273563061171	0.00072288365055	0.000203078136637	0.000304321790536
k__Bacteria;p__[Caldithrix]	7.18530269058	0.207219861254	0.672552243204	1.0	0.00015248955778	0.00010589579682	6.35057106289e-05	0.0	0.000443574764745	0.000143200793908
k__Archaea;p__Crenarchaeota	7.13795698925	0.210580805034	0.672552243204	1.0	0.0577537625141	0.0196220593364	0.0527976708059	0.0126052393851	0.0322692807537	0.0250623621198
k__Bacteria;p__OP3	6.94967741935	0.224409847407	0.672552243204	1.0	0.00101438705828	0.000442875371654	0.00015632174924	0.000757583683876	0.000691879697068	0.000400124464104
k__Bacteria;p__Armatimonadetes	6.83440860215	0.233249721257	0.672552243204	1.0	0.00247298282835	0.00101767168411	0.00131896475922	0.00103705479635	0.00181987013006	0.00112187755949
k__Bacteria;p__Chlamydiae	6.6876344086	0.244926880082	0.672552243204	1.0	0.000483988596433	0.000945259762838	0.000424999755747	0.00128124236152	0.00127172016472	0.00113282113975
