# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc12	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc20	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
Unassigned;Other;Other;Other;Other	0.005405758877	0.00227154547196	0.00206399881209	0.0022602815245	0.00991305409289	0.00438754744757	0.00351055341989	0.00366247059109	0.00235340982352	0.00311127838414	0.00303963335407	0.00368386418288	0.00133868808568	0.00601724099459	0.0038935552943	0.00275621351628	0.0025206882065	0.00406572336286	0.00455975378465	0.00275009913148	0.00332656877959	0.00258998430806	0.00314261088643	0.00197897854261	0.00270239837856	0.00295462050507	0.00316737602692	0.00303528647419	0.00419227900517	0.00298223814049
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__	8.71896593064e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62072363421e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99780268996e-05	0.0	0.0	0.0	0.0	0.0	0.0	8.04285231715e-06	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__	0.0	0.0	0.0	0.0	5.54855820715e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.62998077306e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X	0.00538396146217	0.0	0.0	0.0	0.0	1.4432721867e-05	0.0	0.0	0.000938219061047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.29802242096e-05	0.0	0.0	0.0	2.17189459796e-05	0.0	0.000754226087919	0.0	1.7380120618e-05	0.0	0.0	2.57195030992e-05	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.00608147873662	0.0447877610225	0.0141361645259	0.0101988312691	0.00136161618403	0.0194553090767	0.0249220279974	0.0226135325459	0.0260133027932	0.0325262409568	0.0292545023585	0.0172569664393	0.0160642570281	0.0120939849904	0.0144521977801	0.0290545826563	0.0527976708059	0.00467453219689	0.0597310710595	0.0169099118689	0.0410727786399	0.0278382590093	0.0577471325333	0.00707173451242	0.00575063940676	0.016085301632	0.0373297888887	0.0288910545336	0.00462951055786	0.0195161172429
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	2.73680177345e-05	4.94963743906e-06	0.0	1.9419953725e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.23000473552e-05	0.0	0.0	0.0	2.40717337666e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.62998077306e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae	0.0	2.73680177345e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;Other	0.0	0.0	0.0	0.0	1.10971164143e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	0.0	0.0	0.0	0.0	7.76798149001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__	0.0	2.73680177345e-05	1.48489123172e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.69092125622e-05	4.72481868508e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000232814327734	0.0	0.0	1.08594729898e-05	0.000556918384937	0.0	0.0	0.0	0.0	0.000101514597799	0.0	2.92376288283e-05
